Wall time,Step,Value
1550556919.8197303,0,0.4401509761810303
1550556994.0237834,1,0.32452672719955444
1550557064.0773234,2,0.1638776659965515
1550557133.6886368,3,0.09125056117773056
1550557205.9870057,4,0.11024599522352219
1550557276.2713687,5,0.027109047397971153
1550557343.3482513,6,0.017301781103014946
1550557412.6590366,7,0.03140413016080856
1550557478.5979621,8,0.012685425579547882
1550557545.311905,9,0.025023406371474266
1550557620.587178,10,0.04465368390083313
1550557698.3419747,11,0.05584009736776352
1550557774.9823637,12,0.016702577471733093
1550557847.9922018,13,0.00628464063629508
1550557926.5413306,14,0.0013492180733010173
1550558004.4531713,15,0.0055188401602208614
1550558080.1933627,16,0.002842177636921406
1550558157.9401567,17,0.038324177265167236
1550558232.8198361,18,0.0040241265669465065
1550558308.48518,19,0.008369888179004192
