Wall time,Step,Value
1550406214.5745292,0,0.5780835747718811
1550406267.6331317,1,0.7998339533805847
1550406320.8590016,2,0.8547207713127136
1550406373.4815724,3,0.8958778977394104
1550406424.9314728,4,0.913439154624939
1550406476.491784,5,0.9207190275192261
1550406529.0173063,6,0.9429419636726379
1550406582.6729796,7,0.952488899230957
1550406633.8427596,8,0.9459114074707031
1550406684.658414,9,0.9540534615516663
1550406736.413701,10,0.9583320021629333
1550406788.92011,11,0.9607905745506287
1550406841.0154102,12,0.9604712724685669
1550406892.0085192,13,0.967431902885437
1550406943.0542326,14,0.970720648765564
1550406993.6913369,15,0.9741371273994446
1550407044.9042652,16,0.9738816618919373
1550407096.805278,17,0.9724767804145813
1550407147.4650183,18,0.9754462242126465
1550407199.2142406,19,0.9736262559890747
