Wall time,Step,Value
1550406200.3540306,0,0.9100104570388794
1550406253.9258726,1,0.4792998731136322
1550406306.86667,2,0.5994442701339722
1550406360.3718164,3,0.24121204018592834
1550406411.8431695,4,0.1489887684583664
1550406462.9160054,5,0.1840190291404724
1550406515.7088358,6,0.3674294352531433
1550406569.041196,7,0.030909035354852676
1550406620.6890852,8,0.10026919096708298
1550406671.3178337,9,0.04641547054052353
1550406723.0879872,10,0.04476954787969589
1550406774.5797746,11,0.024511296302080154
1550406826.961353,12,0.09617123752832413
1550406878.5578914,13,0.2295650839805603
1550406929.9180129,14,0.3959828317165375
1550406980.5989664,15,0.023434892296791077
1550407031.7011642,16,0.2698914408683777
1550407083.177187,17,0.023671092465519905
1550407134.3274643,18,0.0013344932813197374
1550407185.9529402,19,0.08543088287115097
